epsd,date,jo,num,bonus
228,20240912,4,127317,906415
229,20240919,1,441510,231818
230,20240926,2,817209,127701
231,20241003,3,660621,476220
232,20241010,1,868476,117342
233,20241017,4,378868,336899
234,20241024,4,658373,240662
235,20241031,4,817148,349458
236,20241107,4,444431,874258
237,20241114,5,793969,045886
238,20241121,5,988942,291070
239,20241128,4,277326,160764
240,20241205,4,446648,761555
241,20241212,2,106716,987868
242,20241219,1,323164,436966
243,20241226,2,084982,824649
244,20250102,5,033337,223594
245,20250109,1,179273,070373
246,20250116,3,176069,562760
247,20250123,2,490590,523374
248,20250130,2,024992,888928
249,20250206,1,090785,295846
250,20250213,3,437950,492591
251,20250220,4,346196,305190
252,20250227,4,002228,615847
253,20250306,4,484010,921069
254,20250313,5,045083,829316
255,20250320,4,941271,891569
256,20250327,5,584766,812700
257,20250403,3,566239,188189
258,20250410,1,265256,581267
259,20250417,3,707288,215109
260,20250424,1,235108,595288
261,20250501,1,844061,915574
262,20250508,3,564583,074356
263,20250515,5,162265,213377
264,20250522,2,063053,250143
265,20250529,5,802320,036379
266,20250605,4,015192,549417
267,20250612,2,832963,014645
268,20250619,2,736358,444319
269,20250626,3,443545,555090
270,20250703,4,593142,721750
271,20250710,3,887155,438414
272,20250717,2,178408,177636
273,20250724,1,415223,850098
274,20250731,5,574627,344734
275,20250807,1,038875,849872
276,20250814,5,168238,991513
277,20250821,4,515680,552578
278,20250828,2,634676,071023
279,20250904,1,728822,340088
280,20250911,1,904181,411204
281,20250918,2,932867,461553
282,20250925,3,034844,495125
283,20251002,3,653503,876831
284,20251009,2,289027,934678
285,20251016,1,539742,872174
286,20251023,2,824756,783962
287,20251030,5,614749,435160
288,20251106,5,112703,598143
289,20251113,3,585935,853647
290,20251120,5,200115,694748
291,20251127,4,149309,036179
292,20251204,4,971630,140693
293,20251211,3,650321,510238
294,20251218,1,746186,171023
295,20251225,3,751272,290334
296,20260101,1,667975,988431
297,20260108,5,444163,248825
298,20260115,3,960211,492845
299,20260122,2,282945,902252
300,20260129,1,455490,428554
301,20260205,4,748559,812029
302,20260212,4,639927,055495
303,20260219,4,639566,619136
304,20260226,5,234931,438985
305,20260305,2,331316,509988
306,20260312,4,545380,394402
307,20260319,1,987645,859127
308,20260326,5,920388,752744
309,20260402,4,867549,653843
310,20260409,3,056204,331119
311,20260416,4,382268,117079
312,20260423,2,861949,974036
313,20260430,5,726493,882033
314,20260507,2,060727,293160
315,20260514,2,537530,358127
316,20260521,3,331818,449298
317,20260528,3,827917,719917
318,20260604,5,401384,981462
319,20260611,3,201327,632035
320,20260618,5,766487,897760
321,20260625,5,686709,326599
322,20260702,2,119392,696967
323,20260709,4,604270,945893
324,20260716,2,485216,061918
325,20260723,3,011391,438906
326,20260730,2,502733,399616
